Latitude,Longitude,Sample Date,ppt,tmax,tmin,soil,pet,vpd,q,aet,def
-28.460833,21.248889,13-01-2011,52.300000000000004,33.62,16.89,0.0,244.7,2.6299999,2.6,49.600002,195.1
-29.658056,25.973333,14-01-2011,71.0,28.289999,12.61,2.2,186.90001,1.4399999,3.6,67.700005,119.200005
-28.760833,17.730278,16-01-2011,1.3,34.98,19.64,0.0,257.5,3.03,0.1,1.2,256.30002
-25.513889,31.224444,17-01-2011,105.80000000000001,28.0,17.51,13.2,149.40001,1.02,5.300000000000001,102.200005,47.2
-26.861111,28.884722,17-01-2011,89.0,27.43,14.009999,5.2000003,161.0,1.1899999,4.5,85.200005,75.8
-31.554722,29.245556,17-01-2011,106.2,24.68,16.57,36.100002,123.700005,0.62,5.300000000000001,115.3,8.400001
-28.058889,30.373611,17-01-2011,99.60000000000001,28.029999,14.679999,4.2000003,158.0,1.15,5.0,95.0,63.0
-25.127778,27.628889,18-01-2011,112.2,31.17,17.97,6.1,169.3,1.52,5.6000000000000005,107.1,62.2
-25.20639,27.558,18-01-2011,112.9,31.109999,17.91,6.5,170.0,1.52,5.6000000000000005,108.0,62.0
-24.69514,27.40906,18-01-2011,121.0,31.609999,18.789999,7.0,172.90001,1.61,6.0,115.6,57.3
-25.681111,31.783333,18-01-2011,65.4,29.599998,18.289999,10.7,149.2,1.02,3.3000000000000003,63.100002,86.1
-27.802778,28.768333,18-01-2011,107.80000000000001,26.91,13.11,3.3,159.1,1.15,5.4,102.8,56.3
-27.398611,26.614722,18-01-2011,84.9,29.939999,15.61,2.5,191.90001,1.5699999,4.2,80.9,111.0
-31.104278,29.399722,18-01-2011,101.80000000000001,25.75,16.289999,21.6,134.1,0.81,5.1000000000000005,115.700005,18.4
-31.396,29.2651,18-01-2011,98.7,25.96,17.63,23.9,134.5,0.78999996,4.9,119.5,15.0
-33.38056,19.30167,18-01-2011,13.4,26.59,11.87,8.2,194.3,1.35,0.7000000000000001,14.400001,179.90001
-33.31388889,19.07472222,18-01-2011,13.8,29.13,14.309999,10.2,205.90001,1.5799999,0.7000000000000001,15.1,190.8
-27.495556,26.074722,18-01-2011,79.9,29.939999,14.9,2.8,194.2,1.5699999,4.0,76.3,117.9
-24.39619444,27.08983333,19-01-2011,96.5,31.679998,18.75,8.400001,169.2,1.5999999,4.800000000000001,92.6,76.6
-26.970278,27.211111,19-01-2011,96.2,28.859999,15.42,3.5,173.90001,1.4,4.800000000000001,91.8,82.1
-26.880278,26.965,19-01-2011,93.9,29.15,15.61,3.3,175.5,1.42,4.7,89.6,85.9
-27.273889,28.49,19-01-2011,104.7,27.599998,14.009999,4.4,164.3,1.24,5.2,100.1,64.200005
-27.3,28.586944,19-01-2011,103.80000000000001,27.63,13.929999,4.2000003,163.40001,1.24,5.2,99.1,64.3
-27.044444,27.005,19-01-2011,93.5,29.25,15.57,3.3,178.7,1.4499999,4.7,89.200005,89.5
-30.568333,29.422778,19-01-2011,105.30000000000001,24.699999,12.12,8.5,137.7,0.81,5.300000000000001,101.5,36.2
-30.570833,29.150556,19-01-2011,108.5,24.51,11.94,6.5,138.90001,0.84,5.4,104.1,34.8
-34.031944,22.053333,19-01-2011,20.200000000000003,25.33,14.79,7.0,157.5,0.84999996,1.0,20.6,136.90001
-33.13083,18.86278,19-01-2011,12.200000000000001,29.59,14.95,7.5,207.1,1.61,0.6000000000000001,12.7,194.40001
-33.7075,18.97444444,19-01-2011,19.6,28.39,14.78,11.8,200.3,1.42,1.0,21.2,179.1
-25.57877778,29.12747222,19-01-2011,102.30000000000001,29.429998,15.799999,4.8,161.6,1.3199999,5.1000000000000005,97.8,63.8
-26.006389,29.253889,20-01-2011,96.5,27.09,14.0199995,5.5,152.0,1.1,4.800000000000001,92.3,59.7
-27.02314,28.59389,20-01-2011,97.60000000000001,27.8,14.2,4.8,163.1,1.25,4.9,93.3,69.8
-30.679722,26.7125,20-01-2011,68.10000000000001,28.599998,12.28,2.1000001,180.90001,1.4,3.4000000000000004,64.9,116.0
-28.460833,21.248889,20-01-2011,52.300000000000004,33.62,16.89,0.0,244.7,2.6299999,2.6,49.600002,195.1
-30.77586667,29.03221667,20-01-2011,104.30000000000001,26.0,14.53,6.6,141.5,0.96,5.2,100.200005,41.3
-24.925278,29.324444,21-01-2011,109.5,30.97,17.51,4.0,162.40001,1.41,5.5,104.5,57.9
-28.460833,21.248889,21-01-2011,52.300000000000004,33.62,16.89,0.0,244.7,2.6299999,2.6,49.600002,195.1
-24.679167,30.8025,24-01-2011,149.0,25.99,15.07,16.7,143.3,0.85999995,7.4,141.7,1.6
-25.99136,27.84208,24-01-2011,98.5,28.039999,15.62,4.9,161.1,1.24,4.9,94.200005,66.9
-25.49037,30.6986,24-01-2011,122.5,26.84,15.66,17.2,144.7,0.89,6.1000000000000005,118.4,26.300001
-26.970278,27.211111,24-01-2011,96.2,28.859999,15.42,3.5,173.90001,1.4,4.800000000000001,91.8,82.1
-27.671111,27.236944,24-01-2011,94.2,29.48,15.049999,2.7,182.90001,1.51,4.7,89.8,93.1
-27.356667,27.286389,24-01-2011,94.80000000000001,29.23,15.32,3.0,182.40001,1.4699999,4.7,90.4,92.0
-27.01011111,26.69808333,25-01-2011,90.9,29.289999,15.61,2.2,183.5,1.4599999,4.5,86.6,96.9
-26.98472222,26.63227778,25-01-2011,91.80000000000001,29.349998,15.679999,2.5,181.40001,1.4699999,4.6000000000000005,87.4,94.0
-27.398611,26.614722,25-01-2011,84.9,29.939999,15.61,2.5,191.90001,1.5699999,4.2,80.9,111.0
-33.818056,19.694722,25-01-2011,12.3,28.73,14.099999,6.2000003,201.8,1.5,0.6000000000000001,12.900001,188.90001
-25.45963889,28.26430556,25-01-2011,104.7,29.849998,16.63,5.1,164.5,1.37,5.2,100.0,64.5
-33.897778,20.012778,25-01-2011,11.0,29.26,14.559999,4.9,196.1,1.55,0.5,11.3,184.8
-25.81048333,27.90955222,26-01-2011,100.5,28.97,16.56,5.1,164.1,1.3299999,5.0,96.1,68.0
-34.065833,20.404167,26-01-2011,12.700000000000001,29.189999,15.91,6.2000003,179.3,1.5,0.6000000000000001,13.2,166.1
-24.058889,31.237222,26-01-2011,63.300000000000004,31.59,19.869999,1.4,154.6,1.36,3.2,60.100002,94.5
-26.648056,27.089444,26-01-2011,93.9,28.599998,15.219999,3.4,170.90001,1.3299999,4.7,89.6,81.3
-26.880278,26.965,26-01-2011,93.9,29.15,15.61,3.3,175.5,1.42,4.7,89.6,85.9
-27.273889,28.49,26-01-2011,104.7,27.599998,14.009999,4.4,164.3,1.24,5.2,100.1,64.200005
-27.044444,27.005,26-01-2011,93.5,29.25,15.57,3.3,178.7,1.4499999,4.7,89.200005,89.5
-34.092222,21.295278,26-01-2011,16.6,27.42,14.95,5.4,173.1,1.17,0.8,16.9,156.2
-27.02314,28.59389,27-01-2011,97.60000000000001,27.8,14.2,4.8,163.1,1.25,4.9,93.3,69.8
-26.73806,27.59194,27-01-2011,96.30000000000001,28.13,15.17,4.1,168.1,1.3,4.800000000000001,92.0,76.1
-28.760833,17.730278,30-01-2011,1.3,34.98,19.64,0.0,257.5,3.03,0.1,1.2,256.30002
-26.861111,28.884722,31-01-2011,89.0,27.43,14.009999,5.2000003,161.0,1.1899999,4.5,85.200005,75.8
-26.73806,27.59194,31-01-2011,96.30000000000001,28.13,15.17,4.1,168.1,1.3,4.800000000000001,92.0,76.1
-25.127778,27.628889,01-02-2011,112.2,31.17,17.97,6.1,169.3,1.52,5.6000000000000005,107.1,62.2
-24.69514,27.40906,01-02-2011,121.0,31.609999,18.789999,7.0,172.90001,1.61,6.0,115.6,57.3
-27.363611,31.783333,01-02-2011,75.0,30.019999,18.93,10.6,154.40001,1.16,3.8000000000000003,72.3,82.1
-27.802778,28.768333,01-02-2011,107.80000000000001,26.91,13.11,3.3,159.1,1.15,5.4,102.8,56.3
-29.160278,26.573333,01-02-2011,84.30000000000001,28.949999,13.07,2.4,190.1,1.52,4.2,80.4,109.700005
-34.329722,18.990278,01-02-2011,23.5,23.05,13.58,17.9,158.2,0.72999996,1.2000000000000002,27.2,131.0
-25.20639,27.558,02-02-2011,112.9,31.109999,17.91,6.5,170.0,1.52,5.6000000000000005,108.0,62.0
-23.281,30.54305556,03-02-2011,99.5,30.859999,19.76,6.2000003,154.40001,1.3299999,5.0,95.0,59.4
-28.801278,31.955389,03-02-2011,89.60000000000001,28.939999,19.64,11.0,150.2,0.89,4.5,87.6,62.600002
-27.00222,28.76528,03-02-2011,95.4,27.63,14.11,5.0,161.6,1.22,4.800000000000001,91.200005,70.4
-27.02314,28.59389,03-02-2011,97.60000000000001,27.8,14.2,4.8,163.1,1.25,4.9,93.3,69.8
-27.3,28.586944,03-02-2011,103.80000000000001,27.63,13.929999,4.2000003,163.40001,1.24,5.2,99.1,64.3
-30.679722,26.7125,03-02-2011,68.10000000000001,28.599998,12.28,2.1000001,180.90001,1.4,3.4000000000000004,64.9,116.0
-28.460833,21.248889,03-02-2011,52.300000000000004,33.62,16.89,0.0,244.7,2.6299999,2.6,49.600002,195.1
-28.460833,21.248889,04-02-2011,52.300000000000004,33.62,16.89,0.0,244.7,2.6299999,2.6,49.600002,195.1
-29.140556,31.391944,07-02-2011,108.7,28.07,19.279999,4.8,143.5,0.82,5.4,103.6,39.9
-25.99136,27.84208,07-02-2011,98.5,28.039999,15.62,4.9,161.1,1.24,4.9,94.200005,66.9
-24.058889,31.237222,07-02-2011,63.300000000000004,31.59,19.869999,1.4,154.6,1.36,3.2,60.100002,94.5
-26.73806,27.59194,07-02-2011,96.30000000000001,28.13,15.17,4.1,168.1,1.3,4.800000000000001,92.0,76.1
-30.86013889,29.07125,07-02-2011,101.60000000000001,26.07,14.799999,7.0,140.6,0.94,5.1000000000000005,97.700005,42.9
-27.356667,27.286389,07-02-2011,94.80000000000001,29.23,15.32,3.0,182.40001,1.4699999,4.7,90.4,92.0
-28.058889,30.373611,07-02-2011,99.60000000000001,28.029999,14.679999,4.2000003,158.0,1.15,5.0,95.0,63.0
-27.01011111,26.69808333,08-02-2011,90.9,29.289999,15.61,2.2,183.5,1.4599999,4.5,86.6,96.9
-27.169444,29.233889,08-02-2011,90.0,26.93,13.59,4.0,157.3,1.12,4.5,86.0,71.3
-26.98472222,26.63227778,08-02-2011,91.80000000000001,29.349998,15.679999,2.5,181.40001,1.4699999,4.6000000000000005,87.4,94.0
-27.398611,26.614722,08-02-2011,84.9,29.939999,15.61,2.5,191.90001,1.5699999,4.2,80.9,111.0
-27.573056,24.746389,08-02-2011,75.2,31.66,15.66,0.4,208.40001,1.8399999,3.8000000000000003,71.5,136.90001
-33.501667,21.624167,08-02-2011,13.0,27.64,11.98,0.1,189.1,1.37,0.7000000000000001,12.400001,176.7
-32.502778,19.535833,08-02-2011,4.800000000000001,30.92,13.57,1.3000001,233.40001,2.0,0.2,4.7000003,228.7
-25.45963889,28.26430556,08-02-2011,104.7,29.849998,16.63,5.1,164.5,1.37,5.2,100.0,64.5
-26.970278,27.211111,09-02-2011,96.2,28.859999,15.42,3.5,173.90001,1.4,4.800000000000001,91.8,82.1
-27.273889,28.49,09-02-2011,104.7,27.599998,14.009999,4.4,164.3,1.24,5.2,100.1,64.200005
-28.69485,28.23487,09-02-2011,103.4,25.769999,12.639999,3.1000001,160.7,1.11,5.2,98.6,62.100002
-28.883333,27.89,09-02-2011,105.80000000000001,26.349998,12.929999,3.3,164.2,1.18,5.300000000000001,101.0,63.2
-27.02314,28.59389,10-02-2011,97.60000000000001,27.8,14.2,4.8,163.1,1.25,4.9,93.3,69.8
-30.679722,26.7125,10-02-2011,68.10000000000001,28.599998,12.28,2.1000001,180.90001,1.4,3.4000000000000004,64.9,116.0
-30.534167,24.961944,10-02-2011,44.900000000000006,29.9,13.13,0.0,205.0,1.7099999,2.2,42.600002,162.40001
-34.031944,22.053333,10-02-2011,20.200000000000003,25.33,14.79,7.0,157.5,0.84999996,1.0,20.6,136.90001
-34.039722,22.133333,10-02-2011,21.1,25.16,15.12,7.3,156.0,0.82,1.1,21.6,134.40001
-32.595833,19.009444,10-02-2011,7.300000000000001,30.83,13.759999,6.1,218.5,1.8199999,0.4,7.6,210.90001
-28.801278,31.955389,11-02-2011,89.60000000000001,28.939999,19.64,11.0,150.2,0.89,4.5,87.6,62.600002
-29.658056,25.973333,11-02-2011,71.0,28.289999,12.61,2.2,186.90001,1.4399999,3.6,67.700005,119.200005
-28.068333,31.55,11-02-2011,77.30000000000001,30.42,19.76,2.3,159.1,1.31,3.9000000000000004,73.5,85.6
-28.760833,17.730278,13-02-2011,1.3,34.98,19.64,0.0,257.5,3.03,0.1,1.2,256.30002
-29.7775,29.470833,14-02-2011,148.1,24.17,11.82,8.900001,138.3,0.81,7.4,138.3,0.0
-29.987778,29.851667,14-02-2011,127.0,25.42,13.759999,10.8,136.0,0.83,6.4,122.4,13.6
-29.744167,29.905833,14-02-2011,126.30000000000001,26.31,14.46,8.7,141.6,0.94,6.300000000000001,121.1,20.5
-26.861111,28.884722,14-02-2011,89.0,27.43,14.009999,5.2000003,161.0,1.1899999,4.5,85.200005,75.8
-26.45,28.085833,14-02-2011,90.0,27.789999,14.849999,4.5,162.5,1.24,4.5,86.0,76.5
-31.396,29.2651,14-02-2011,98.7,25.96,17.63,23.9,134.5,0.78999996,4.9,119.5,15.0
-25.20639,27.558,15-02-2011,112.9,31.109999,17.91,6.5,170.0,1.52,5.6000000000000005,108.0,62.0
-24.69514,27.40906,15-02-2011,121.0,31.609999,18.789999,7.0,172.90001,1.61,6.0,115.6,57.3
-26.006389,29.253889,15-02-2011,96.5,27.09,14.0199995,5.5,152.0,1.1,4.800000000000001,92.3,59.7
-27.802778,28.768333,15-02-2011,107.80000000000001,26.91,13.11,3.3,159.1,1.15,5.4,102.8,56.3
-27.398611,26.614722,15-02-2011,84.9,29.939999,15.61,2.5,191.90001,1.5699999,4.2,80.9,111.0
-27.671111,27.236944,15-02-2011,94.2,29.48,15.049999,2.7,182.90001,1.51,4.7,89.8,93.1
-29.160278,26.573333,15-02-2011,84.30000000000001,28.949999,13.07,2.4,190.1,1.52,4.2,80.4,109.700005
-30.568333,29.422778,15-02-2011,105.30000000000001,24.699999,12.12,8.5,137.7,0.81,5.300000000000001,101.5,36.2
-30.570833,29.150556,15-02-2011,108.5,24.51,11.94,6.5,138.90001,0.84,5.4,104.1,34.8
-33.38056,19.30167,15-02-2011,13.4,26.59,11.87,8.2,194.3,1.35,0.7000000000000001,14.400001,179.90001
-33.31388889,19.07472222,15-02-2011,13.8,29.13,14.309999,10.2,205.90001,1.5799999,0.7000000000000001,15.1,190.8
-27.495556,26.074722,15-02-2011,79.9,29.939999,14.9,2.8,194.2,1.5699999,4.0,76.3,117.9
-25.436111,31.982222,16-02-2011,61.800000000000004,30.689999,18.58,12.400001,148.90001,1.14,3.1,60.0,88.9
-24.39619444,27.08983333,16-02-2011,96.5,31.679998,18.75,8.400001,169.2,1.5999999,4.800000000000001,92.6,76.6
-25.67386,31.57527,16-02-2011,81.0,30.3,19.39,11.400001,154.8,1.22,4.1000000000000005,78.1,76.700005
-30.733889,29.828333,16-02-2011,114.80000000000001,25.43,15.65,33.100002,132.40001,0.77,5.7,120.0,12.400001
-30.398056,30.601944,16-02-2011,125.4,26.41,19.43,49.0,134.7,0.71999997,6.300000000000001,127.0,7.7000003
-27.273889,28.49,16-02-2011,104.7,27.599998,14.009999,4.4,164.3,1.24,5.2,100.1,64.200005
-27.3,28.586944,16-02-2011,103.80000000000001,27.63,13.929999,4.2000003,163.40001,1.24,5.2,99.1,64.3
-27.044444,27.005,16-02-2011,93.5,29.25,15.57,3.3,178.7,1.4499999,4.7,89.200005,89.5
-30.86013889,29.07125,16-02-2011,101.60000000000001,26.07,14.799999,7.0,140.6,0.94,5.1000000000000005,97.700005,42.9
-30.77586667,29.03221667,16-02-2011,104.30000000000001,26.0,14.53,6.6,141.5,0.96,5.2,100.200005,41.3
-33.13083,18.86278,16-02-2011,12.200000000000001,29.59,14.95,7.5,207.1,1.61,0.6000000000000001,12.7,194.40001
-24.925278,29.324444,17-02-2011,109.5,30.97,17.51,4.0,162.40001,1.41,5.5,104.5,57.9
-27.00222,28.76528,17-02-2011,95.4,27.63,14.11,5.0,161.6,1.22,4.800000000000001,91.200005,70.4
-27.02314,28.59389,17-02-2011,97.60000000000001,27.8,14.2,4.8,163.1,1.25,4.9,93.3,69.8
-22.43772222,31.07805556,18-02-2011,112.30000000000001,33.94,20.96,0.5,172.0,1.7099999,5.6000000000000005,106.700005,65.3
-29.803611,30.516111,18-02-2011,120.7,26.14,16.369999,11.3,134.2,0.77,6.0,116.5,17.7
-25.99136,27.84208,21-02-2011,98.5,28.039999,15.62,4.9,161.1,1.24,4.9,94.200005,66.9
-26.861111,28.884722,21-02-2011,89.0,27.43,14.009999,5.2000003,161.0,1.1899999,4.5,85.200005,75.8
-26.73806,27.59194,21-02-2011,96.30000000000001,28.13,15.17,4.1,168.1,1.3,4.800000000000001,92.0,76.1
-26.45,28.085833,21-02-2011,90.0,27.789999,14.849999,4.5,162.5,1.24,4.5,86.0,76.5
-27.01011111,26.69808333,22-02-2011,90.9,29.289999,15.61,2.2,183.5,1.4599999,4.5,86.6,96.9
-27.169444,29.233889,22-02-2011,90.0,26.93,13.59,4.0,157.3,1.12,4.5,86.0,71.3
-26.98472222,26.63227778,22-02-2011,91.80000000000001,29.349998,15.679999,2.5,181.40001,1.4699999,4.6000000000000005,87.4,94.0
-27.398611,26.614722,22-02-2011,84.9,29.939999,15.61,2.5,191.90001,1.5699999,4.2,80.9,111.0
-29.160278,26.573333,22-02-2011,84.30000000000001,28.949999,13.07,2.4,190.1,1.52,4.2,80.4,109.700005
-33.818056,19.694722,22-02-2011,12.3,28.73,14.099999,6.2000003,201.8,1.5,0.6000000000000001,12.900001,188.90001
-25.81048333,27.90955222,23-02-2011,100.5,28.97,16.56,5.1,164.1,1.3299999,5.0,96.1,68.0
-29.641944,30.6875,23-02-2011,111.0,27.15,18.08,10.400001,139.7,0.84999996,5.6000000000000005,107.1,32.600002
-34.065833,20.404167,23-02-2011,12.700000000000001,29.189999,15.91,6.2000003,179.3,1.5,0.6000000000000001,13.2,166.1
-33.980556,21.653333,23-02-2011,15.8,26.83,14.37,4.6,164.5,1.09,0.8,15.8,148.7
-22.769722,30.886944,23-02-2011,120.60000000000001,32.01,19.9,5.5,159.8,1.4399999,6.0,114.9,44.9
-27.00222,28.76528,23-02-2011,95.4,27.63,14.11,5.0,161.6,1.22,4.800000000000001,91.200005,70.4
-27.02314,28.59389,23-02-2011,97.60000000000001,27.8,14.2,4.8,163.1,1.25,4.9,93.3,69.8
-27.38972222,26.46388889,23-02-2011,83.7,30.07,15.54,2.6000001,193.3,1.5799999,4.2,79.8,113.5
-27.398611,26.614722,23-02-2011,84.9,29.939999,15.61,2.5,191.90001,1.5699999,4.2,80.9,111.0
-27.671111,27.236944,23-02-2011,94.2,29.48,15.049999,2.7,182.90001,1.51,4.7,89.8,93.1
-27.356667,27.286389,23-02-2011,94.80000000000001,29.23,15.32,3.0,182.40001,1.4699999,4.7,90.4,92.0
-33.897778,20.012778,23-02-2011,11.0,29.26,14.559999,4.9,196.1,1.55,0.5,11.3,184.8
-23.763056,27.908611,24-02-2011,109.0,30.519999,17.46,5.5,156.3,1.39,5.5,104.1,52.2
-23.23572222,27.717,24-02-2011,82.0,31.82,18.71,0.5,162.0,1.56,4.1000000000000005,77.9,84.1
-28.44555556,32.325,24-02-2011,85.4,28.019999,19.92,17.2,144.8,0.81,4.3,87.5,57.3
-30.679722,26.7125,24-02-2011,68.10000000000001,28.599998,12.28,2.1000001,180.90001,1.4,3.4000000000000004,64.9,116.0
-30.160091,27.40124,24-02-2011,84.5,27.289999,12.719999,3.6000001,171.3,1.3199999,4.2,80.700005,90.6
-30.336111,27.359444,24-02-2011,82.9,27.3,12.259999,3.8,171.90001,1.31,4.1000000000000005,79.3,92.6
-28.460833,21.248889,24-02-2011,52.300000000000004,33.62,16.89,0.0,244.7,2.6299999,2.6,49.600002,195.1
-22.91028,29.61111,25-02-2011,112.60000000000001,30.48,18.59,1.2,151.90001,1.35,5.6000000000000005,107.0,44.9
-28.760833,17.730278,27-02-2011,1.3,34.98,19.64,0.0,257.5,3.03,0.1,1.2,256.30002
-24.183889,30.823889,01-03-2011,94.10000000000001,30.939999,19.23,7.0,152.3,1.28,4.7,90.0,62.3
-27.398611,26.614722,01-03-2011,84.9,29.939999,15.61,2.5,191.90001,1.5699999,4.2,80.9,111.0
-27.671111,27.236944,01-03-2011,94.2,29.48,15.049999,2.7,182.90001,1.51,4.7,89.8,93.1
-29.160278,26.573333,01-03-2011,84.30000000000001,28.949999,13.07,2.4,190.1,1.52,4.2,80.4,109.700005
-27.495556,26.074722,01-03-2011,79.9,29.939999,14.9,2.8,194.2,1.5699999,4.0,76.3,117.9
-23.658056,31.05,02-03-2011,65.4,31.859999,20.039999,1.2,156.40001,1.41,3.3000000000000003,62.2,94.200005
-26.648056,27.089444,02-03-2011,93.9,28.599998,15.219999,3.4,170.90001,1.3299999,4.7,89.6,81.3
-27.802778,28.768333,02-03-2011,107.80000000000001,26.91,13.11,3.3,159.1,1.15,5.4,102.8,56.3
-24.679167,30.8025,03-03-2011,149.0,25.99,15.07,16.7,143.3,0.85999995,7.4,141.7,1.6
-27.273889,28.49,03-03-2011,104.7,27.599998,14.009999,4.4,164.3,1.24,5.2,100.1,64.200005
-27.3,28.586944,03-03-2011,103.80000000000001,27.63,13.929999,4.2000003,163.40001,1.24,5.2,99.1,64.3
-30.679722,26.7125,03-03-2011,68.10000000000001,28.599998,12.28,2.1000001,180.90001,1.4,3.4000000000000004,64.9,116.0
-27.02314,28.59389,04-03-2011,97.60000000000001,27.8,14.2,4.8,163.1,1.25,4.9,93.3,69.8
-25.99136,27.84208,07-03-2011,98.5,28.039999,15.62,4.9,161.1,1.24,4.9,94.200005,66.9
-31.554722,29.245556,07-03-2011,106.2,24.68,16.57,36.100002,123.700005,0.62,5.300000000000001,115.3,8.400001
-27.01011111,26.69808333,08-03-2011,90.9,29.289999,15.61,2.2,183.5,1.4599999,4.5,86.6,96.9
-27.802778,28.768333,08-03-2011,107.80000000000001,26.91,13.11,3.3,159.1,1.15,5.4,102.8,56.3
